Test case #          61:    data_in = 0x65a9,    crc_out = 0x14a, golden_crc_out = 0x14a, TEST MATCH!
Test case #          62:    data_in = 0x96a4,    crc_out = 0x07f, golden_crc_out = 0x07f, TEST MATCH!
Test case #          63:    data_in = 0xbd5d,    crc_out = 0x166, golden_crc_out = 0x166, TEST MATCH!
Test case #          64:    data_in = 0xc511,    crc_out = 0x009, golden_crc_out = 0x009, TEST MATCH!
Test case #          65:    data_in = 0x8836,    crc_out = 0x1cb, golden_crc_out = 0x1cb, TEST MATCH!
Test case #          66:    data_in = 0x0bb1,    crc_out = 0x045, golden_crc_out = 0x045, TEST MATCH!
Test case #          67:    data_in = 0x051f,    crc_out = 0x15c, golden_crc_out = 0x15c, TEST MATCH!
Test case #          68:    data_in = 0xaea0,    crc_out = 0x080, golden_crc_out = 0x080, TEST MATCH!
Test case #          69:    data_in = 0x4494,    crc_out = 0x092, golden_crc_out = 0x092, TEST MATCH!
Test case #          70:    data_in = 0x173e,    crc_out = 0x118, golden_crc_out = 0x118, TEST MATCH!
Test case #          71:    data_in = 0xfbc6,    crc_out = 0x04a, golden_crc_out = 0x04a, TEST MATCH!
Test case #          72:    data_in = 0x8136,    crc_out = 0x0eb, golden_crc_out = 0x0eb, TEST MATCH!
Test case #          73:    data_in = 0x0b1f,    crc_out = 0x09c, golden_crc_out = 0x09c, TEST MATCH!
Test case #          74:    data_in = 0x2ac7,    crc_out = 0x1f2, golden_crc_out = 0x1f2, TEST MATCH!
Test case #          75:    data_in = 0xfdcb,    crc_out = 0x021, golden_crc_out = 0x021, TEST MATCH!
Test case #          76:    data_in = 0x4baa,    crc_out = 0x1b9, golden_crc_out = 0x1b9, TEST MATCH!
Test case #          77:    data_in = 0xedd9,    crc_out = 0x045, golden_crc_out = 0x045, TEST MATCH!
Test case #          78:    data_in = 0xbac1,    crc_out = 0x00c, golden_crc_out = 0x00c, TEST MATCH!
Test case #          79:    data_in = 0xbc91,    crc_out = 0x0c6, golden_crc_out = 0x0c6, TEST MATCH!
Test case #          80:    data_in = 0xa748,    crc_out = 0x1bd, golden_crc_out = 0x1bd, TEST MATCH!
Test case #          81:    data_in = 0xc1ad,    crc_out = 0x107, golden_crc_out = 0x107, TEST MATCH!
Test case #          82:    data_in = 0x89a6,    crc_out = 0x1f9, golden_crc_out = 0x1f9, TEST MATCH!
Test case #          83:    data_in = 0xa537,    crc_out = 0x00d, golden_crc_out = 0x00d, TEST MATCH!
Test case #          84:    data_in = 0xa5e7,    crc_out = 0x017, golden_crc_out = 0x017, TEST MATCH!
Test case #          85:    data_in = 0x14e8,    crc_out = 0x1ae, golden_crc_out = 0x1ae, TEST MATCH!
Test case #          86:    data_in = 0xe7d3,    crc_out = 0x051, golden_crc_out = 0x051, TEST MATCH!
Test case #          87:    data_in = 0xf5a1,    crc_out = 0x079, golden_crc_out = 0x079, TEST MATCH!
Test case #          88:    data_in = 0xfb80,    crc_out = 0x08e, golden_crc_out = 0x08e, TEST MATCH!
Test case #          89:    data_in = 0x8671,    crc_out = 0x1fc, golden_crc_out = 0x1fc, TEST MATCH!
Test case #          90:    data_in = 0x24d2,    crc_out = 0x09a, golden_crc_out = 0x09a, TEST MATCH!
Test case #          91:    data_in = 0x7831,    crc_out = 0x1ca, golden_crc_out = 0x1ca, TEST MATCH!
Test case #          92:    data_in = 0xbfc4,    crc_out = 0x006, golden_crc_out = 0x006, TEST MATCH!
Test case #          93:    data_in = 0x5838,    crc_out = 0x1ad, golden_crc_out = 0x1ad, TEST MATCH!
Test case #          94:    data_in = 0x3b44,    crc_out = 0x097, golden_crc_out = 0x097, TEST MATCH!
Test case #          95:    data_in = 0x2398,    crc_out = 0x126, golden_crc_out = 0x126, TEST MATCH!
Test case #          96:    data_in = 0xe726,    crc_out = 0x0e5, golden_crc_out = 0x0e5, TEST MATCH!
Test case #          97:    data_in = 0x4a1d,    crc_out = 0x070, golden_crc_out = 0x070, TEST MATCH!
Test case #          98:    data_in = 0xbaea,    crc_out = 0x06f, golden_crc_out = 0x06f, TEST MATCH!
Test case #          99:    data_in = 0xb853,    crc_out = 0x10b, golden_crc_out = 0x10b, TEST MATCH!
Test case #         100:    data_in = 0x7abc,    crc_out = 0x131, golden_crc_out = 0x131, TEST MATCH!
Test case #         101:    data_in = 0x9eb7,    crc_out = 0x11b, golden_crc_out = 0x11b, TEST MATCH!
Test case #         102:    data_in = 0x34b6,    crc_out = 0x03c, golden_crc_out = 0x03c, TEST MATCH!
Test case #         103:    data_in = 0x6e3c,    crc_out = 0x092, golden_crc_out = 0x092, TEST MATCH!
Test case #         104:    data_in = 0x113d,    crc_out = 0x1be, golden_crc_out = 0x1be, TEST MATCH!
Test case #         105:    data_in = 0x5ac4,    crc_out = 0x06b, golden_crc_out = 0x06b, TEST MATCH!
Test case #         106:    data_in = 0x56ff,    crc_out = 0x18a, golden_crc_out = 0x18a, TEST MATCH!
Test case #         107:    data_in = 0x6aed,    crc_out = 0x13b, golden_crc_out = 0x13b, TEST MATCH!
Test case #         108:    data_in = 0xf763,    crc_out = 0x174, golden_crc_out = 0x174, TEST MATCH!
Test case #         109:    data_in = 0x0fb3,    crc_out = 0x190, golden_crc_out = 0x190, TEST MATCH!
Test case #         110:    data_in = 0x1cc4,    crc_out = 0x132, golden_crc_out = 0x132, TEST MATCH!
Test case #         111:    data_in = 0x7ef9,    crc_out = 0x113, golden_crc_out = 0x113, TEST MATCH!
Test case #         112:    data_in = 0xeedb,    crc_out = 0x170, golden_crc_out = 0x170, TEST MATCH!
Test case #         113:    data_in = 0x4cb3,    crc_out = 0x069, golden_crc_out = 0x069, TEST MATCH!
Test case #         114:    data_in = 0x3ca3,    crc_out = 0x194, golden_crc_out = 0x194, TEST MATCH!
Test case #         115:    data_in = 0xbf8b,    crc_out = 0x1f0, golden_crc_out = 0x1f0, TEST MATCH!
Test case #         116:    data_in = 0x467a,    crc_out = 0x003, golden_crc_out = 0x003, TEST MATCH!
Test case #         117:    data_in = 0xaad4,    crc_out = 0x197, golden_crc_out = 0x197, TEST MATCH!
Test case #         118:    data_in = 0x5d7c,    crc_out = 0x09c, golden_crc_out = 0x09c, TEST MATCH!
Test case #         119:    data_in = 0x8d91,    crc_out = 0x080, golden_crc_out = 0x080, TEST MATCH!
Test case #         120:    data_in = 0x1987,    crc_out = 0x1fc, golden_crc_out = 0x1fc, TEST MATCH!
Test case #         121:    data_in = 0xa792,    crc_out = 0x0f3, golden_crc_out = 0x0f3, TEST MATCH!
Test case #         122:    data_in = 0xd57c,    crc_out = 0x19d, golden_crc_out = 0x19d, TEST MATCH!
Test case #         123:    data_in = 0xd4fb,    crc_out = 0x052, golden_crc_out = 0x052, TEST MATCH!
Test case #         124:    data_in = 0xc797,    crc_out = 0x095, golden_crc_out = 0x095, TEST MATCH!
Test case #         125:    data_in = 0x43da,    crc_out = 0x0b7, golden_crc_out = 0x0b7, TEST MATCH!
Test case #         126:    data_in = 0xd30a,    crc_out = 0x19f, golden_crc_out = 0x19f, TEST MATCH!
Test case #         127:    data_in = 0x8968,    crc_out = 0x12c, golden_crc_out = 0x12c, TEST MATCH!
Test case #         128:    data_in = 0xbfd9,    crc_out = 0x0af, golden_crc_out = 0x0af, TEST MATCH!
Test case #         129:    data_in = 0xc05d,    crc_out = 0x139, golden_crc_out = 0x139, TEST MATCH!
Test case #         130:    data_in = 0xfeb6,    crc_out = 0x0e4, golden_crc_out = 0x0e4, TEST MATCH!
Test case #         131:    data_in = 0x566d,    crc_out = 0x0cd, golden_crc_out = 0x0cd, TEST MATCH!
Test case #         132:    data_in = 0xb676,    crc_out = 0x065, golden_crc_out = 0x065, TEST MATCH!
Test case #         133:    data_in = 0x95ab,    crc_out = 0x1e1, golden_crc_out = 0x1e1, TEST MATCH!
Test case #         134:    data_in = 0x0e84,    crc_out = 0x049, golden_crc_out = 0x049, TEST MATCH!
Test case #         135:    data_in = 0x3121,    crc_out = 0x171, golden_crc_out = 0x171, TEST MATCH!
Test case #         136:    data_in = 0x505f,    crc_out = 0x15e, golden_crc_out = 0x15e, TEST MATCH!
Test case #         137:    data_in = 0xe2ae,    crc_out = 0x054, golden_crc_out = 0x054, TEST MATCH!
